cell_code,whole_plots,details,type,binder,solvent,fec,thickness,anode,anode_mass,active_mass,capacity_mah,protocol_type,source_file,ICE,retention_final,n_cycles,fade_rate_total,reference_cycle,final_cycle,inferred_cell_type,warnings
IF2007G4,,half small space,half,PVDF,EC:DEC,5.0,200.0,,0.0071,0.00297,0.891,longterm,IF2007G4_5FEC_2026-07-21 16-51-59.csv,77.71935583747151,83.83062122410423,111.0,0.145670079062124,2.0,111.0,half,
IF2007G5,,half small space,half,PVDF,EC:DEC,5.0,200.0,,0.0076,0.00342,1.026,longterm,IF2007G5_5FEC_2026-07-21 16-52-31.csv,77.07997394409296,89.79154889866913,44.0,0.2320102523029742,2.0,44.0,half,
IF2007G6,,half small space,half,PVDF,EC:DEC,5.0,200.0,,0.0077,0.00351,1.053,longterm,IF2007G6_5FEC_2026-07-21 16-53-16.csv,79.8402720327587,78.96370020906994,48.0,0.4382562456443762,2.0,48.0,half,
IF2007G7,,half small space,half,PVDF,EC:DEC,0.625,200.0,,0.0077,0.00351,1.053,longterm,IF2007G7_0.625FEC_2026-07-21 17-01-43.csv,81.44789573050821,100.58620556448292,211.0,-0.0027782254240896,2.0,211.0,half,"Retention=100.6% above 100%, check data"
IF2007G8,,half small space,half,PVDF,EC:DEC,0.625,200.0,,0.0082,0.00396,1.188,longterm,IF2007G8_0.625FEC_2026-07-21 17-02-18.csv,79.69586718053476,100.0,2.0,0.0,2.0,2.0,half,"Only 2 cycles with activity, targets may be unreliable"
IF2007G9,,half small space,half,PVDF,EC:DEC,0.625,200.0,,0.0071,0.00297,0.891,longterm,IF2007G9_0.625FEC_2026-07-21 17-03-09.csv,79.539992274221,121.340906452141,183.0,-0.1166169751483114,2.0,183.0,half,"Retention=121.3% above 100%, check data"
IF220610_0.625FEC_2026-06-23 16-16-45_5_HardCarbon_Na_Halfcell_Ratetest,,,,,,,,,,,,ratetest,IF220610_0.625FEC_2026-06-23 16-16-45_5_HardCarbon_Na_Halfcell_Ratetest.xlsx,82.61205686551261,,,,,,half,cell_code not found in df_track column 'cell_code'
IF2206E1,,half small space june,half,CMC,EC:DEC,1.25,200.0,,0.0072,0.00306,0.918,ratetest,IF2206E1_1.25FEC_2026-06-23 16-11-33_4_HardCarbon_Na_Halfcell_Ratetest.xlsx,80.43889069631133,,,,,,half,
IF2206E2,,half small space june,half,CMC,EC:DEC,1.25,200.0,,0.007,0.00288,0.864,ratetest,IF2206E2_1.25FEC_2026-06-23 16-12-03_5_HardCarbon_Na_Halfcell_Ratetest.xlsx,80.3447568305519,,,,,,half,
IF2206E3,,half small space june,half,CMC,EC:DEC,1.25,200.0,,0.0065,0.00243,0.729,ratetest,IF2206E3_1.25FEC_2026-06-23 16-12-42_6_HardCarbon_Na_Halfcell_Ratetest.xlsx,81.04301546992731,,,,,,half,
IF2206E4,,half small space june,half,CMC,EC:DEC,1.25,200.0,,0.006,0.00198,0.594,ratetest,IF2206E4_1.25FEC_2026-06-23 16-13-14_7_HardCarbon_Na_Halfcell_Ratetest.xlsx,82.73372969274496,,,,,,half,
IF2206E5,,half small space june,half,CMC,EC:DEC,5.0,200.0,,0.007,0.00288,0.864,ratetest,IF2206E5_1.25FEC_2026-06-23 16-13-45_8_HardCarbon_Na_Halfcell_Ratetest.xlsx,81.55629954375527,,,,,,half,
IF2206E6,,half small space june,half,CMC,EC:DEC,1.25,200.0,,0.0063,0.00225,0.675,ratetest,IF2206E6_1.25FEC_2026-06-23 16-14-18_1_HardCarbon_Na_Halfcell_Ratetest.xlsx,82.06443908714515,,,,,,half,
IF2206E7,,half small space june,half,CMC,EC:DEC,1.25,200.0,,0.007,0.00288,0.864,ratetest,IF2206E7_1.25FEC_2026-06-23 16-14-50_2_HardCarbon_Na_Halfcell_Ratetest.xlsx,,,,,,,,"no charge/discharge pairs found, ICE not calculated"
IF2206E8,,half small space june,half,CMC,EC:DEC,1.25,200.0,,0.0075,0.00333,0.999,ratetest,IF2206E8_1.25FEC_2026-06-23 16-15-27_3_HardCarbon_Na_Halfcell_Ratetest.xlsx,83.4748656745769,,,,,,half,
IF2206E9,,half small space june,half,CMC,EC:DEC,0.625,200.0,,0.0072,0.00306,0.918,ratetest,IF2206E9_0.625FEC_2026-06-23 16-16-08_4_HardCarbon_Na_Halfcell_Ratetest.xlsx,81.6936622495665,,,,,,half,
ltl_doe1_001,1.0,DoE,half,CMC,EC:DMC,3.5,200.0,D10,0.0078,0.0037656,1.12968,longterm,ltl_doe1_001_2026-07-20 18-20-18.ndax,84.83658599853516,105.91036224365234,151.0,-0.039141472429037,2.0,151.0,half,"Retention=105.9% above 100%, check data"
ltl_doe1_002,1.0,DoE,half,CMC,EC:DMC,2.5,200.0,D3,0.0078,0.0037656,1.12968,longterm,ltl_doe1_002_2026-07-20 18-21-03.ndax,83.8448486328125,95.9885711669922,46.0,0.0872049778699874,2.0,46.0,half,
ltl_doe1_003,1.0,DoE,half,CMC,EC:DEC:DMC,0.5,200.0,D7,0.0077,0.0036756,1.10268,longterm,ltl_doe1_003_2026-07-20 18-19-39.ndax,82.58236694335938,106.59510040283205,112.0,-0.0588848255574703,2.0,112.0,half,"Retention=106.6% above 100%, check data"
ltl_doe1_004,1.0,DoE,half,CMC,EC:DEC:DMC,5.0,200.0,D9,0.0077,0.0036756,1.10268,longterm,ltl_doe1_004-2_2026-07-23 17-10-44.ndax,90.32400512695312,71.23170471191406,150.0,0.1917886286973953,2.0,150.0,half,
ltl_doe1_005,1.0,DoE,half,CMC,EC:DEC,2.5,200.0,C11,0.0079,0.0038556,1.15668,longterm,ltl_doe1_005_2026-07-22 14-07-23.csv,84.06356976348572,84.68537584337781,33.0,0.464079519897642,2.0,33.0,half,
ltl_doe1_006,2.0,DoE,half,PVDF,EC:DMC,5.0,400.0,C2,0.0116,0.0071856,2.15568,longterm,ltl_doe1_006_2026-07-20 18-22-41.ndax,75.9328842163086,101.62136840820312,77.0,-0.0210567321628332,2.0,77.0,half,"Retention=101.6% above 100%, check data"
ltl_doe1_007,2.0,DoE,half,PVDF,EC:DMC,2.5,400.0,C8,0.0115,0.0070956,2.12868,longterm,ltl_doe1_007_2026-07-20 18-23-27.ndax,76.64043426513672,85.45948028564453,301.0,0.0483073741197586,2.0,301.0,half,
ltl_doe1_008,2.0,DoE,half,PVDF,EC:DEC:DMC,0.5,400.0,C3,0.0112,0.0068256,2.04768,longterm,ltl_doe1_008_2026-07-20 18-23-57.ndax,77.64452362060547,81.17764282226562,301.0,0.0625327453017234,2.0,301.0,half,
ltl_doe1_009,2.0,DoE,half,PVDF,EC:DEC,2.5,400.0,B10,0.0109,0.0065556,1.96668,longterm,ltl_doe1_009_2026-07-16 16-58-16.ndax,78.23316955566406,99.90093231201172,301.0,0.0003291285247541,2.0,301.0,half,
ltl_doe1_010,2.0,DoE,half,PVDF,EC:DEC:DMC,5.0,400.0,C9,0.0078,0.0037656,1.12968,longterm,ltl_doe1_010-3_2026-07-24 11-02-47.ndax,76.81180572509766,97.32120513916016,116.0,0.0230930596590042,2.0,116.0,half,
ltl_doe1_011,3.0,DoE,half,CMC,EC:DEC:DMC,5.0,200.0,C4,0.0073,0.0033156,0.99468,longterm,ltl_doe1_011-3_2026-07-23 18-17-47.ndax,89.61991882324219,65.29922485351562,26.0,1.33464515209198,2.0,26.0,half,
ltl_doe1_012,3.0,DoE,half,CMC,EC:DEC,2.5,200.0,D5,0.0076,0.0035856,1.07568,longterm,ltl_doe1_012_2026-07-16 16-57-04.ndax,86.7777099609375,68.97897338867188,138.0,0.2247900515794754,2.0,138.0,half,
ltl_doe1_013,3.0,DoE,half,CMC,EC:DEC:DMC,0.5,200.0,D8,0.0077,0.0036756,1.10268,longterm,ltl_doe1_013_2026-07-20 18-27-55.ndax,84.6942367553711,85.91157531738281,301.0,0.0468053966760635,2.0,301.0,half,
ltl_doe1_014,8.0,DoE,half,PVDF,EC:DEC,0.5,100.0,A6,0.0054,0.0016056,0.4816800000000001,longterm,ltl_doe1_014_2026-07-16 16-55-07.ndax,78.70169067382812,84.71366882324219,180.0,0.0849240645766258,2.0,180.0,half,
ltl_doe1_015,3.0,DoE,half,CMC,EC:DEC,3.5,200.0,C9,0.0079,0.0038556,1.15668,longterm,ltl_doe1_015_2026-07-22 14-08-31.csv,86.01489369864099,86.78810876545666,19.0,0.6953626965549129,2.0,19.0,half,
ltl_doe1_016,4.0,DoE,half,CMC,EC:DMC,0.5,100.0,A10,0.0055,0.0016956,0.5086799999999999,longterm,ltl_doe1_016_2026-07-20 18-28-49.ndax,80.94080352783203,95.11833953857422,95.0,0.051385898143053,2.0,95.0,half,
ltl_doe1_018,4.0,DoE,half,CMC,EC:DEC:DMC,3.5,100.0,A6,0.0053,0.0015156,0.4546800000000001,longterm,ltl_doe1_018_2026-07-22 14-09-15.csv,83.48027767010456,83.98117907144761,52.0,0.3080542486260074,2.0,52.0,half,
